epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
193,0.164715,,,0.168362,0,0,0.9247,0.9265,0.8939,0.9150,,,,,,0.0005,7
194,0.171946,,,0.170205,0,0,0.9184,0.9169,0.8871,0.9074,,,,,,0.0005,7
195,0.169024,,,0.171717,0,0,0.9334,0.9222,0.8877,0.9144,,,,,,0.0005,7
196,0.174253,,,0.217238,0,0,0.9265,0.9193,0.8895,0.9118,,,,,,0.0005,7
197,0.167150,,,0.187099,0,0,0.9282,0.9194,0.8854,0.9110,,,,,,0.0005,7
198,0.169178,,,0.196052,0,0,0.9322,0.9268,0.8920,0.9170,,,,,,0.0005,7
199,0.178361,,,0.201980,0,0,0.9308,0.9113,0.8816,0.9079,,,,,,0.0005,7
200,0.168790,,,0.213569,0,0,0.9304,0.9139,0.8855,0.9099,0.9334,0.9366,0.9046,0.9249,0.9249,0.0005,8
201,0.169617,,,0.200210,0,0,0.9326,0.9277,0.8931,0.9178,,,,,,0.0005,8
202,0.172478,,,0.194955,0,0,0.9280,0.9263,0.8928,0.9157,,,,,,0.0005,8
203,0.169651,,,0.204970,0,0,0.9253,0.9141,0.8833,0.9076,,,,,,0.0005,8
204,0.168655,,,0.194741,0,0,0.9315,0.9104,0.8787,0.9069,,,,,,0.0005,8
205,0.164048,,,0.182251,0,0,0.9346,0.9307,0.8965,0.9206,,,,,,0.0005,8
206,0.172587,,,0.223530,0,0,0.9257,0.9212,0.8890,0.9119,,,,,,0.0005,8
207,0.180324,,,0.220479,0,0,0.9306,0.9166,0.8856,0.9109,,,,,,0.0005,8
208,0.167118,,,0.193682,0,0,0.9312,0.9281,0.8951,0.9181,,,,,,0.0005,8
209,0.183677,,,0.201062,0,0,0.9313,0.9281,0.8942,0.9179,,,,,,0.0005,8
210,0.159825,,,0.170283,0,0,0.9323,0.9211,0.8937,0.9157,0.9410,0.9272,0.9036,0.9239,0.9239,0.0005,9
211,0.167961,,,0.192390,0,0,0.9324,0.9299,0.8956,0.9193,,,,,,0.0005,9
212,0.177056,,,0.206674,0,0,0.9369,0.9209,0.8954,0.9177,,,,,,0.0005,9
213,0.174740,,,0.213371,0,0,0.9309,0.9204,0.8944,0.9152,,,,,,0.0005,9
214,0.174195,,,0.209343,0,0,0.9343,0.9170,0.8913,0.9142,,,,,,0.0005,9
215,0.167816,,,0.191394,0,0,0.9330,0.9271,0.8963,0.9188,,,,,,0.0005,9
216,0.167307,,,0.202587,0,0,0.9313,0.9226,0.8880,0.9140,,,,,,0.0005,9
217,0.173010,,,0.245143,0,0,0.9366,0.9267,0.8939,0.9191,,,,,,0.0005,9
218,0.166780,,,0.187776,0,0,0.9317,0.9271,0.8973,0.9187,,,,,,0.0005,9
219,0.161840,,,0.171776,0,0,0.9342,0.9272,0.8949,0.9188,,,,,,0.0005,9
220,0.168346,,,0.192227,0,0,0.9360,0.9279,0.8935,0.9191,0.9431,0.9369,0.9058,0.9286,0.9286,0.0005,0
221,0.164243,,,0.202742,0,0,0.9344,0.9295,0.8956,0.9198,,,,,,0.0005,0
222,0.161070,,,0.198226,0,0,0.9282,0.9146,0.8835,0.9087,,,,,,0.0005,0
223,0.164812,,,0.204424,0,0,0.9313,0.9054,0.8793,0.9053,,,,,,0.0005,0
224,0.176789,,,0.233969,0,0,0.9329,0.9194,0.8929,0.9151,,,,,,0.0005,0
225,0.174428,,,0.213025,0,0,0.9326,0.9286,0.8933,0.9182,,,,,,0.0005,0
226,0.171883,,,0.218712,0,0,0.9328,0.9169,0.8865,0.9121,,,,,,0.0005,0
227,0.154252,,,0.170041,0,0,0.9352,0.9252,0.8928,0.9177,,,,,,0.0005,0
228,0.167231,,,0.209753,0,0,0.9314,0.9263,0.8961,0.9179,,,,,,0.0005,0
229,0.167867,,,0.201816,0,0,0.9336,0.9263,0.8955,0.9184,,,,,,0.0005,0
230,0.163164,,,0.193061,0,0,0.9325,0.9243,0.8938,0.9169,0.9410,0.9287,0.9021,0.9239,0.9239,0.0005,1
231,0.171111,,,0.217730,0,0,0.9272,0.9247,0.8955,0.9158,,,,,,0.0005,1
232,0.167380,,,0.211109,0,0,0.9305,0.9231,0.8899,0.9145,,,,,,0.0005,1
233,0.165656,,,0.196769,0,0,0.9340,0.9313,0.8959,0.9204,,,,,,0.0005,1
234,0.172057,,,0.233943,0,0,0.9294,0.9214,0.8922,0.9143,,,,,,0.0005,1
235,0.164013,,,0.215855,0,0,0.9329,0.9279,0.8961,0.9190,,,,,,0.0005,1
236,0.161839,,,0.192402,0,0,0.9283,0.9234,0.8925,0.9147,,,,,,0.0005,1
237,0.162021,,,0.199208,0,0,0.9287,0.9275,0.8986,0.9182,,,,,,0.0005,1
238,0.176965,,,0.229679,0,0,0.9214,0.9272,0.8957,0.9148,,,,,,0.0005,1
239,0.163600,,,0.186460,0,0,0.9350,0.9322,0.8997,0.9223,,,,,,0.0005,1
240,0.160312,,,0.192030,0,0,0.9370,0.9274,0.8987,0.9210,0.9441,0.9336,0.9079,0.9286,0.9286,0.0005,2
241,0.155188,,,0.180475,0,0,0.9337,0.9262,0.8912,0.9171,,,,,,0.0005,2
242,0.172837,,,0.196843,0,0,0.9312,0.9209,0.8980,0.9167,,,,,,0.0005,2
243,0.168605,,,0.212020,0,0,0.9283,0.9290,0.8962,0.9178,,,,,,0.0005,2
244,0.165447,,,0.215221,0,0,0.9311,0.9312,0.8985,0.9203,,,,,,0.0005,2
245,0.175834,,,0.250550,0,0,0.9360,0.9238,0.8941,0.9180,,,,,,0.0005,2
246,0.169360,,,0.223240,0,0,0.9344,0.9213,0.8927,0.9161,,,,,,0.0005,2
247,0.169533,,,0.210651,0,0,0.9357,0.9223,0.8927,0.9169,,,,,,0.0005,2
248,0.178287,,,0.225144,0,0,0.9310,0.9194,0.8905,0.9136,,,,,,0.0005,2
249,0.164276,,,0.209143,0,0,0.9331,0.9166,0.8914,0.9137,,,,,,0.0005,2
250,0.167139,,,0.213610,0,0,0.9378,0.9287,0.8955,0.9207,0.9455,0.9401,0.9080,0.9312,0.9312,0.0005,0
251,0.156716,,,0.170820,0,0,0.9315,0.9080,0.8835,0.9077,,,,,,0.0005,0
252,0.169338,,,0.229361,0,0,0.9324,0.9119,0.8802,0.9082,,,,,,0.0005,0
253,0.158276,,,0.209571,0,0,0.9353,0.9215,0.8950,0.9172,,,,,,0.0005,0
254,0.178185,,,0.224777,0,0,0.9314,0.9298,0.8988,0.9200,,,,,,0.0005,0
255,0.175316,,,0.212223,0,0,0.9362,0.9225,0.8915,0.9168,,,,,,0.0005,0
